state,county,pct_pob
Aguascalientes,Aguascalientes,26.1
Aguascalientes,Asientos,54
Aguascalientes,Calvillo,56.8
Aguascalientes,Cosío,43.2
Aguascalientes,Jesús María,25
Aguascalientes,Pabellón de Arteaga,34.9
Aguascalientes,Rincón de Romos,50.1
Aguascalientes,San José de Gracia,59.6
Aguascalientes,Tepezalá,50.7
Aguascalientes,El Llano,55.1
Aguascalientes,San Francisco de los Romo,31.3
Baja California,Ensenada,33.5
Baja California,Mexicali,25.7
Baja California,Tecate,26.6
Baja California,Tijuana,29.5
Baja California,Playas de Rosarito,37.8
Baja California Sur,Comondú,38.8
Baja California Sur,Mulegé,27.8
Baja California Sur,La Paz,24.3
Baja California Sur,Los Cabos,27.6
Baja California Sur,Loreto,41.3
Campeche,Calkiní,58.2
Campeche,Campeche,31.2
Campeche,Carmen,29
Campeche,Champotón,57.3
Campeche,Hecelchakán,56
Campeche,Hopelchén,69
Campeche,Palizada,60.4
Campeche,Tenabo,55.1
Campeche,Escárcega,59.1
Campeche,Calakmul,74.3
Campeche,Candelaria,67.6
Coahuila,Abasolo,3.9
Coahuila,Acuña,25.2
Coahuila,Allende,28.1
Coahuila,Arteaga,41
Coahuila,Candela,14.1
Coahuila,Castaños,23.2
Coahuila,Cuatro Ciénegas,39.2
Coahuila,Escobedo,54.8
Coahuila,Francisco I. Madero,35.6
Coahuila,Frontera,18.4
Coahuila,General Cepeda,47.8
Coahuila,Guerrero,45
Coahuila,Hidalgo,31.6
Coahuila,Jiménez,44.7
Coahuila,Juárez,26.2
Coahuila,Lamadrid,14.3
Coahuila,Matamoros,35.7
Coahuila,Monclova,17.7
Coahuila,Morelos,38.1
Coahuila,Múzquiz,27.6
Coahuila,Nadadores,20.8
Coahuila,Nava,22.3
Coahuila,Ocampo,39.6
Coahuila,Parras,36.1
Coahuila,Piedras Negras,28.4
Coahuila,Progreso,22.9
Coahuila,Ramos Arizpe,17.8
Coahuila,Sabinas,22.1
Coahuila,Sacramento,20.1
Coahuila,Saltillo,17.5
Coahuila,San Buenaventura,19
Coahuila,San Juan de Sabinas,21.7
Coahuila,San Pedro,48.5
Coahuila,Sierra Mojada,16.9
Coahuila,Torreón,26.2
Coahuila,Viesca,50
Coahuila,Villa Unión,38.3
Coahuila,Zaragoza,34.8
Colima,Armería,51.1
Colima,Colima,27.6
Colima,Comala,44.2
Colima,Coquimatlán,44.9
Colima,Cuauhtémoc,35.9
Colima,Ixtlahuacán,59.9
Colima,Manzanillo,27.2
Colima,Minatitlán,47.4
Colima,Tecomán,48.7
Colima,Villa de Álvarez,24.3
Chiapas,Acacoyagua,78.8
Chiapas,Acala,74.9
Chiapas,Acapetahua,74
Chiapas,Altamirano,95.1
Chiapas,Amatán,91.9
Chiapas,Amatenango de la Frontera,83.7
Chiapas,Amatenango del Valle,95.6
Chiapas,Angel Albino Corzo,89.2
Chiapas,Arriaga,65.1
Chiapas,Bejucal de Ocampo,97.1
Chiapas,Bella Vista,88.8
Chiapas,Berriozábal,66.5
Chiapas,Bochil,82.4
Chiapas,El Bosque,98
Chiapas,Cacahoatán,74.1
Chiapas,Catazajá,76.1
Chiapas,Cintalapa,70.1
Chiapas,Coapilla,95.1
Chiapas,Comitán de Domínguez,66.5
Chiapas,La Concordia,86.3
Chiapas,Copainalá,78.8
Chiapas,Chalchihuitán,99.3
Chiapas,Chamula,96.7
Chiapas,Chanal,99.6
Chiapas,Chapultenango,91.6
Chiapas,Chenalhó,98.9
Chiapas,Chiapa de Corzo,59.3
Chiapas,Chiapilla,91.2
Chiapas,Chicoasén,73.2
Chiapas,Chicomuselo,84.9
Chiapas,Chilón,98.2
Chiapas,Escuintla,78.3
Chiapas,Francisco León,95.1
Chiapas,Frontera Comalapa,81.2
Chiapas,Frontera Hidalgo,70
Chiapas,La Grandeza,90
Chiapas,Huehuetán,63.6
Chiapas,Huixtán,92.7
Chiapas,Huitiupán,93.9
Chiapas,Huixtla,68.3
Chiapas,La Independencia,91.5
Chiapas,Ixhuatán,88.7
Chiapas,Ixtacomitán,77.2
Chiapas,Ixtapa,87.7
Chiapas,Ixtapangajoya,74.7
Chiapas,Jiquipilas,74.9
Chiapas,Jitotol,94.7
Chiapas,Juárez,59.4
Chiapas,Larráinzar,98.5
Chiapas,La Libertad,63.3
Chiapas,Mapastepec,73.1
Chiapas,Las Margaritas,90.8
Chiapas,Mazapa de Madero,86.9
Chiapas,Mazatán,73.7
Chiapas,Metapa,68.6
Chiapas,Mitontic,98.2
Chiapas,Motozintla,82.3
Chiapas,Nicolás Ruíz,99.4
Chiapas,Ocosingo,86.5
Chiapas,Ocotepec,95.5
Chiapas,Ocozocoautla de Espinosa,74.7
Chiapas,Ostuacán,67.7
Chiapas,Osumacinta,73.8
Chiapas,Oxchuc,97.4
Chiapas,Palenque,77
Chiapas,Pantelhó,98.4
Chiapas,Pantepec,91.9
Chiapas,Pichucalco,64.3
Chiapas,Pijijiapan,71.1
Chiapas,El Porvenir,94.1
Chiapas,Villa Comaltitlán,67.3
Chiapas,Pueblo Nuevo Solistahuacán,90.2
Chiapas,Rayón,91.2
Chiapas,Reforma,52.6
Chiapas,Las Rosas,87.4
Chiapas,Sabanilla,98.5
Chiapas,Salto de Agua,90.9
Chiapas,San Cristóbal de las Casas,60
Chiapas,San Fernando,68.2
Chiapas,Siltepec,92.9
Chiapas,Simojovel,95.9
Chiapas,Sitalá,98
Chiapas,Socoltenango,78.9
Chiapas,Solosuchiapa,86.9
Chiapas,Soyaló,89
Chiapas,Suchiapa,70.2
Chiapas,Suchiate,68.6
Chiapas,Sunuapa,76.2
Chiapas,Tapachula,54.4
Chiapas,Tapalapa,89.5
Chiapas,Tapilula,73.3
Chiapas,Tecpatán,82.6
Chiapas,Tenejapa,97.6
Chiapas,Teopisca,89.8
Chiapas,Tila,97.5
Chiapas,Tonalá,69.8
Chiapas,Totolapa,96.7
Chiapas,La Trinitaria,85.7
Chiapas,Tumbalá,97.9
Chiapas,Tuxtla Gutiérrez,41.9
Chiapas,Tuxtla Chico,63.2
Chiapas,Tuzantán,79.5
Chiapas,Tzimol,83.9
Chiapas,Unión Juárez,80.1
Chiapas,Venustiano Carranza,84
Chiapas,Villa Corzo,83.2
Chiapas,Villaflores,72.9
Chiapas,Yajalón,78.7
Chiapas,San Lucas,97.6
Chiapas,Zinacantán,98.4
Chiapas,San Juan Cancuc,99.6
Chiapas,Aldama,99.6
Chiapas,Benemérito de las Américas,87.5
Chiapas,Maravilla Tenejapa,96
Chiapas,Marqués de Comillas,82.3
Chiapas,Montecristo de Guerrero,96.6
Chiapas,San Andrés Duraznal,99.5
Chiapas,Santiago el Pinar,99
Chihuahua,Ahumada,37.4
Chihuahua,Aldama,33
Chihuahua,Allende,37.3
Chihuahua,Aquiles Serdán,26.6
Chihuahua,Ascensión,54.2
Chihuahua,Bachíniva,36.4
Chihuahua,Balleza,65.5
Chihuahua,Batopilas,93
Chihuahua,Bocoyna,58.9
Chihuahua,Buenaventura,0
Chihuahua,Camargo,38.2
Chihuahua,Carichí,0
Chihuahua,Casas Grandes,38.6
Chihuahua,Coronado,51.2
Chihuahua,Coyame del Sotol,28.3
Chihuahua,La Cruz,39.4
Chihuahua,Cuauhtémoc,31.8
Chihuahua,Cusihuiriachi,47.9
Chihuahua,Chihuahua,19.6
Chihuahua,Chínipas,83.9
Chihuahua,Delicias,25.6
Chihuahua,Dr. Belisario Domínguez,62
Chihuahua,Galeana,40.1
Chihuahua,Santa Isabel,0
Chihuahua,Gómez Farías,49
Chihuahua,Gran Morelos,56.5
Chihuahua,Guachochi,64.9
Chihuahua,Guadalupe,41.9
Chihuahua,Guadalupe y Calvo,85.2
Chihuahua,Guazapares,71
Chihuahua,Guerrero,50.2
Chihuahua,Hidalgo del Parral,30
Chihuahua,Huejotitán,76.9
Chihuahua,Ignacio Zaragoza,56
Chihuahua,Janos,44.1
Chihuahua,Jiménez,40
Chihuahua,Juárez,26.4
Chihuahua,Julimes,33.8
Chihuahua,López,43.5
Chihuahua,Madera,49.9
Chihuahua,Maguarichi,75.3
Chihuahua,Manuel Benavides,38.9
Chihuahua,Matachí,44.9
Chihuahua,Matamoros,49.5
Chihuahua,Meoqui,33.5
Chihuahua,Morelos,90.6
Chihuahua,Moris,79.2
Chihuahua,Namiquipa,49.2
Chihuahua,Nonoava,63.5
Chihuahua,Nuevo Casas Grandes,29.6
Chihuahua,Ocampo,43.7
Chihuahua,Ojinaga,41.2
Chihuahua,Praxedis G. Guerrero,35.6
Chihuahua,Riva Palacio,42.3
Chihuahua,Rosales,30.5
Chihuahua,Rosario,79
Chihuahua,San Francisco de Borja,53.1
Chihuahua,San Francisco de Conchos,34.9
Chihuahua,San Francisco del Oro,33
Chihuahua,Santa Bárbara,24
Chihuahua,Satevó,52
Chihuahua,Saucillo,27.9
Chihuahua,Temósachic,0
Chihuahua,El Tule,70.2
Chihuahua,Urique,0
Chihuahua,Uruachi,86.5
Chihuahua,Valle de Zaragoza,50.7
Distrito Federal,Azcapotzalco,19.5
Distrito Federal,Coyoacán,19.8
Distrito Federal,Cuajimalpa de Morelos,30.1
Distrito Federal,Gustavo A. Madero,28.4
Distrito Federal,Iztacalco,17.1
Distrito Federal,Iztapalapa,35
Distrito Federal,La Magdalena Contreras,32.6
Distrito Federal,Milpa Alta,49.2
Distrito Federal,Álvaro Obregón,27.9
Distrito Federal,Tláhuac,39.2
Distrito Federal,Tlalpan,32.1
Distrito Federal,Xochimilco,40.5
Distrito Federal,Benito Juárez,5
Distrito Federal,Cuauhtémoc,16
Distrito Federal,Miguel Hidalgo,7.1
Distrito Federal,Venustiano Carranza,22.8
Durango,Canatlán,50.4
Durango,Canelas,76.5
Durango,Coneto de Comonfort,79.8
Durango,Cuencamé,45.8
Durango,Durango,32.2
Durango,General Simón Bolívar,54.3
Durango,Gómez Palacio,30.5
Durango,Guadalupe Victoria,48.1
Durango,Guanaceví,64.6
Durango,Hidalgo,69.7
Durango,Indé,69.5
Durango,Lerdo,36.3
Durango,Mapimí,40.5
Durango,Mezquital,89.1
Durango,Nazas,55.5
Durango,Nombre de Dios,50
Durango,Ocampo,55.1
Durango,El Oro,46.1
Durango,Otáez,89.5
Durango,Pánuco de Coronado,54.8
Durango,Peñón Blanco,53.1
Durango,Poanas,52.1
Durango,Pueblo Nuevo,52.6
Durango,Rodeo,48.8
Durango,San Bernardo,68.3
Durango,San Dimas,50.4
Durango,San Juan de Guadalupe,63.2
Durango,San Juan del Río,55.3
Durango,San Luis del Cordero,58.4
Durango,San Pedro del Gallo,69.2
Durango,Santa Clara,74.7
Durango,Santiago Papasquiaro,46
Durango,Súchil,71.4
Durango,Tamazula,70.9
Durango,Tepehuanes,56.1
Durango,Tlahualilo,38.8
Durango,Topia,68.9
Durango,Vicente Guerrero,49
Durango,Nuevo Ideal,49.3
Guanajuato,Abasolo,55.8
Guanajuato,Acámbaro,52.9
Guanajuato,San Miguel de Allende,48.6
Guanajuato,Apaseo el Alto,51.7
Guanajuato,Apaseo el Grande,41.9
Guanajuato,Atarjea,82.1
Guanajuato,Celaya,32.5
Guanajuato,Manuel Doblado,54.5
Guanajuato,Comonfort,57.5
Guanajuato,Coroneo,61.1
Guanajuato,Cortazar,40.6
Guanajuato,Cuerámaro,60.4
Guanajuato,Doctor Mora,50.1
Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,56.2
Guanajuato,Guanajuato,35.3
Guanajuato,Huanímaro,59.1
Guanajuato,Irapuato,37.2
Guanajuato,Jaral del Progreso,54.7
Guanajuato,Jerécuaro,74.4
Guanajuato,León,31.5
Guanajuato,Moroleón,55
Guanajuato,Ocampo,66.3
Guanajuato,Pénjamo,58
Guanajuato,Pueblo Nuevo,53.1
Guanajuato,Purísima del Rincón,39.9
Guanajuato,Romita,52.3
Guanajuato,Salamanca,37.7
Guanajuato,Salvatierra,60.1
Guanajuato,San Diego de la Unión,65.7
Guanajuato,San Felipe,63.6
Guanajuato,San Francisco del Rincón,37.9
Guanajuato,San José Iturbide,38.9
Guanajuato,San Luis de la Paz,52.9
Guanajuato,Santa Catarina,65.3
Guanajuato,Santa Cruz de Juventino Rosas,62.9
Guanajuato,Santiago Maravatío,75.3
Guanajuato,Silao,43.3
Guanajuato,Tarandacuao,63.9
Guanajuato,Tarimoro,56
Guanajuato,Tierra Blanca,57
Guanajuato,Uriangato,58.2
Guanajuato,Valle de Santiago,57.4
Guanajuato,Victoria,56.1
Guanajuato,Villagrán,38.4
Guanajuato,Xichú,80.6
Guanajuato,Yuriria,63.5
Guerrero,Acapulco de Juárez,56.6
Guerrero,Ahuacuotzingo,89.2
Guerrero,Ajuchitlán del Progreso,84.3
Guerrero,Alcozauca de Guerrero,96.2
Guerrero,Alpoyeca,72.7
Guerrero,Apaxtla,73.6
Guerrero,Arcelia,66.5
Guerrero,Atenango del Río,80.5
Guerrero,Atlamajalcingo del Monte,96.3
Guerrero,Atlixtac,96.5
Guerrero,Atoyac de Álvarez,63.4
Guerrero,Ayutla de los Libres,81
Guerrero,Azoyú,75.9
Guerrero,Benito Juárez,48.2
Guerrero,Buenavista de Cuéllar,55.1
Guerrero,Coahuayutla de José María Izazaga,79.2
Guerrero,Cocula,55.9
Guerrero,Copala,69.5
Guerrero,Copalillo,94.7
Guerrero,Copanatoyac,94.3
Guerrero,Coyuca de Benítez,55.2
Guerrero,Coyuca de Catalán,76.8
Guerrero,Cuajinicuilapa,67.4
Guerrero,Cualác,83.7
Guerrero,Cuautepec,83.7
Guerrero,Cuetzala del Progreso,82.7
Guerrero,Cutzamala de Pinzón,66.8
Guerrero,Chilapa de Álvarez,84.2
Guerrero,Chilpancingo de los Bravo,54.2
Guerrero,Florencio Villarreal,71.7
Guerrero,General Canuto A. Neri,83.7
Guerrero,General Heliodoro Castillo,91.5
Guerrero,Huamuxtitlán,61.2
Guerrero,Huitzuco de los Figueroa,66.2
Guerrero,Iguala de la Independencia,52.9
Guerrero,Igualapa,85.2
Guerrero,Ixcateopan de Cuauhtémoc,83.7
Guerrero,Zihuatanejo de Azueta,49.3
Guerrero,Juan R. Escudero,75.4
Guerrero,Leonardo Bravo,86.5
Guerrero,Malinaltepec,92.4
Guerrero,Mártir de Cuilapan,84.4
Guerrero,Metlatónoc,98.4
Guerrero,Mochitlán,72.5
Guerrero,Olinalá,85.8
Guerrero,Ometepec,69.6
Guerrero,Pedro Ascencio Alquisiras,93.7
Guerrero,Petatlán,61.2
Guerrero,Pilcaya,56.5
Guerrero,Pungarabato,58.2
Guerrero,Quechultenango,86.5
Guerrero,San Luis Acatlán,88.9
Guerrero,San Marcos,57.4
Guerrero,San Miguel Totolapan,94
Guerrero,Taxco de Alarcón,68.5
Guerrero,Tecoanapa,76.2
Guerrero,Técpan de Galeana,57.6
Guerrero,Teloloapan,73.5
Guerrero,Tepecoacuilco de Trujano,56.4
Guerrero,Tetipac,70.8
Guerrero,Tixtla de Guerrero,67.4
Guerrero,Tlacoachistlahuaca,91.6
Guerrero,Tlacoapa,90.7
Guerrero,Tlalchapa,66.3
Guerrero,Tlalixtaquilla de Maldonado,77.8
Guerrero,Tlapa de Comonfort,73.3
Guerrero,Tlapehuala,56.9
Guerrero,La Unión de Isidoro Montes de Oca,59.7
Guerrero,Xalpatláhuac,94.7
Guerrero,Xochihuehuetlán,80.8
Guerrero,Xochistlahuaca,91.3
Guerrero,Zapotitlán Tablas,93.3
Guerrero,Zirándaro,79.6
Guerrero,Zitlala,88.5
Guerrero,Eduardo Neri,71.9
Guerrero,Acatepec,97.6
Guerrero,Marquelia,71.8
Guerrero,Cochoapa el Grande,99.3
Guerrero,José Joaquin de Herrera,94.2
Guerrero,Juchitán,79.5
Guerrero,Iliatenco,80.6
Hidalgo,Acatlán,60
Hidalgo,Acaxochitlán,75
Hidalgo,Actopan,55
Hidalgo,Agua Blanca de Iturbide,68.7
Hidalgo,Ajacuba,47.8
Hidalgo,Alfajayucan,61.9
Hidalgo,Almoloya,58.4
Hidalgo,Apan,47.5
Hidalgo,El Arenal,43.9
Hidalgo,Atitalaquia,35.5
Hidalgo,Atlapexco,77.8
Hidalgo,Atotonilco el Grande,62.9
Hidalgo,Atotonilco de Tula,27.7
Hidalgo,Calnali,73.8
Hidalgo,Cardonal,64.3
Hidalgo,Cuautepec de Hinojosa,59.4
Hidalgo,Chapantongo,55.6
Hidalgo,Chapulhuacán,79.9
Hidalgo,Chilcuautla,57.8
Hidalgo,Eloxochitlán,70.3
Hidalgo,Emiliano Zapata,39.3
Hidalgo,Epazoyucan,36.3
Hidalgo,Francisco I. Madero,52.3
Hidalgo,Huasca de Ocampo,52.8
Hidalgo,Huautla,78.6
Hidalgo,Huazalingo,84.2
Hidalgo,Huehuetla,79.4
Hidalgo,Huejutla de Reyes,62.8
Hidalgo,Huichapan,38.1
Hidalgo,Ixmiquilpan,55.6
Hidalgo,Jacala de Ledezma,71.6
Hidalgo,Jaltocán,74.3
Hidalgo,Juárez Hidalgo,76.4
Hidalgo,Lolotla,73.1
Hidalgo,Metepec,56.2
Hidalgo,San Agustín Metzquititlán,56.8
Hidalgo,Metztitlán,66.1
